ID Info,Initial Order,ASIN,URL,title,title_short,date_released,Release date,Maker Info,Brand,manufacturer,Model Name,item_model,cntry_of_origin,Is Discontinued By Manufacturer,Monetary Info,price_actual,price_list,Hardware,display_type,Operating System,Connectivity Technology,wireless_comm_stndrd,gps_raw,memory_capacity,memory_capacity_2,memory_capacity_mb,Battery,Battery Cell Composition,battery_type,batter_capacity,Battery Power Rating,Physical Features,Shape,Screen Size,Starting Units of Measurement,scrn_size_inch,item_weight_raw,raw_wght_units,weight_in_oz,prod_dim_raw,standing_screen_dsply_size,Style,Color,package_dmnsn,Display resolution,Scanner Resolution,"Info about Listing (ie. Review info, ratings, etc.)",rvw_avg,cutomer_reviews,cutomer_reviews_1,cutomer_reviews_2,cutomer_reviews_3,num_of_ratings,best_sellers_rank,dept,Language,,Special Feature,See More?,OS,Wireless communication technologies,Connectivity technologies,Special features,Display technology,Other display features,Human Interface Input,Whats in the box,Weight,WeightUnit,weight_oz,Ram Memory Installed Size,Ram_unit,ram_converted,,Age Range (Description),Compatible Devices,Case Material,Type of item,Target Audience,Form Factor,Manufacturer recommended age,Material,UPC
,5,B0CZNX1YBK,https://www.amazon.com/Smartwatch-Fitness-Waterproof-Pedometer-Activity/dp/B0CZNX1YBK/ref=zg_bs_g_7939901011_d_sccl_5/139-0075924-6532933?psc=1,"Smart Watch, 1.91""Smartwatch for Men Women (Answer/Make Call), Fitness Tracker with 100+ Sport Modes, IP68 Waterproof, Heart Rate/Sleep Monitor, Spo2, Pedometer, Activity Tracker for Android iOS","Smart_Watch,_1.91""Smartwa",4/2/2024,,,Kuizil,Kuizil,,T70,,,,$39.99,$99.99,,,,Bluetooth,Bluetooth,,1,Gibyte,1,,Lithium Polymer,1 Lithium Metal batteries required. (included),300 Milliamp Hours,,,Square,1.91,in,1.91,30,g,1.058,12 x 3 x 5 inches,1.91 Inches,Modern,,,,,,4.20,"4.2
4,171 ratings
4.2 out of 5 stars",4.2,"4,171 ratings",4.2 out of 5 stars,"4,171","#1,165 in Electronics (See Top 100 in Electronics)
#16 in Smartwatches",,,,"Bluetooth Call, Message, Health Monitoring, Fitness Tracker, stopwatch, alarm clock, find your phone, sedentary reminder, music control, weather forecast, don‘t disturb mode, brightness adjustment, Camera, female cycle tracking, 1.91"" HD Color Screen, Voice Call, 100+ Sports Modes, IP68 Waterproof",FALSE,,,,,,,,,,,,,,,,,,,,,,,,
,4,B0CYBVPW33,https://www.amazon.com/Smartwatch-Activity-Waterproof-Pedometer-Calories/dp/B0CYBVPW33/ref=zg_bs_g_7939901011_d_sccl_4/139-0075924-6532933?psc=1,"Smart Watch for Men Women (Answer/Make Call), 2024 HD 1.91""Smartwatch Fitness Activity Tracker, 110+ Sports IP68 Waterproof, Heart Rate/Sleep Monitor/Pedometer/Calories, Fitness Watch for Android iOS",Smart_Watch_for_Men_Women,3/18/2024,,,uaue,uaue,,T60,China,,,$39.99,$8.00,,,Android & iOS,Bluetooth,Bluetooth,GPS Via Smartphone,,,,,Lithium Polymer,1 Lithium Polymer batteries required. (included),300 Milliamp Hours,,,Square,1.91,in,1.91,40,g,1.411,,1.91 Inches,,,6.85 x 3.74 x 0.75 inches,,,,4.20,"4.2
2,140 ratings
4.2 out of 5 stars",4.2,"2,140 ratings",4.2 out of 5 stars,"2,140","#177 in Electronics (See Top 100 in Electronics)
#3 in Smartwatches",,,,"Full touch, support iOS 9.0 above/Android 4.4 above, heart rate, blood oxygen, step counting, stroke, sleep, alarm clock, sedentary reminder, remote control photography, music control, female menstrual period prediction, making/answering phone calls, call recording, wrist flicking and screen brightening, weather, fitness tracker, 100+ sports modes, magnetic charging, APP notifications reminder(SMS, Wechat, Facebook, Twitter, Instagram, WhatsAPP, etc), IP68 waterproof, long battery life",FALSE,,,,,,,,,,,,,,,,,,,,,,,,
,43,B0CYCFSX8B,https://www.amazon.com/Smartwatch-Activity-Waterproof-Pedometer-Calories/dp/B0CYCFSX8B/ref=zg_bs_g_7939901011_d_sccl_43/139-0075924-6532933?psc=1,"Smart Watch for Women, 1.91""HD Smartwatch 2024 Fitness Activity Tracker(Answer/Make Call), 110+ Sport IP68 Waterproof, Heart Rate/Sleep Monitor/Pedometer/Calories, Fitness Watch for Android iOS, Pink","Smart_Watch_for_Women,_1.",4/9/2024,,,uaue,uaue,,T60,China,,,$39.99,$99.99,,,Android & iOS,Bluetooth,Bluetooth,GPS Via Smartphone,,,,,Lithium Polymer,1 Lithium Polymer batteries required. (included),300 Milliamp Hours,,,Square,1.91,in,1.91,40,g,1.411,,1.91 Inches,,,6.89 x 3.74 x 0.75 inches,,,,4.20,"4.2
2,140 ratings
4.2 out of 5 stars",4.2,"2,140 ratings",4.2 out of 5 stars,"2,140","#1,823 in Electronics (See Top 100 in Electronics)
#29 in Smartwatches",,,,"Full touch, support iOS 9.0 above/Android 4.4 above, heart rate, blood oxygen, step counting, stroke, sleep, alarm clock, sedentary reminder, remote control photography, music control, female menstrual period prediction, making/answering phone calls, call recording, wrist flicking and screen brightening, weather, fitness tracker, 100+ sports modes, magnetic charging, APP notifications reminder(SMS, Wechat, Facebook, Twitter, Instagram, WhatsAPP, etc), IP68 waterproof, long battery life",FALSE,,,,,,,,,,,,,,,,,,,,,,,,
,49,B0CYCFZZYF,https://www.amazon.com/Smartwatch-Activity-Waterproof-Pedometer-Calories/dp/B0CYCFZZYF/ref=zg_bs_g_7939901011_d_sccl_49/139-0075924-6532933?psc=1,"Smart Watch for Men Women (Answer/Make Call), 1.91""HD Smartwatch 2024 Fitness Activity Tracker, 110+ Sports IP68 Waterproof, Heart Rate/Sleep Monitor/Pedometer/Calories, Fitness Watch for Android iOS",Smart_Watch_for_Men_Women,4/9/2024,,,uaue,uaue,,T60,China,,,$39.99,$99.99,,,Android & iOS,Bluetooth,Bluetooth,GPS Via Smartphone,,,,,Lithium Polymer,1 Lithium Polymer batteries required. (included),300 Milliamp Hours,,,Square,1.91,in,1.91,40,g,1.411,,1.91 Inches,,,6.93 x 3.74 x 0.75 inches,,,,4.20,"4.2
2,140 ratings
4.2 out of 5 stars",4.2,"2,140 ratings",4.2 out of 5 stars,"2,140","#1,098 in Electronics (See Top 100 in Electronics)
#13 in Smartwatches",,,,"Full touch, support iOS 9.0 above/Android 4.4 above, heart rate, blood oxygen, step counting, stroke, sleep, alarm clock, sedentary reminder, remote control photography, music control, female menstrual period prediction, making/answering phone calls, call recording, wrist flicking and screen brightening, weather, fitness tracker, 100+ sports modes, magnetic charging, APP notifications reminder(SMS, Wechat, Facebook, Twitter, Instagram, WhatsAPP, etc), IP68 waterproof, long battery life",FALSE,,,,,,,,,,,,,,,,,,,,,,,,
,97,B0CLVHF93K,https://www.amazon.com/Hvlgmrc-Military-Outdoor-Smartwatch-Compatible/dp/B0CLVHF93K/ref=zg_bs_g_7939901011_d_sccl_97/139-0075924-6532933?psc=1,"Military Smart Watch for Men 1.96 Inches Outdoor Sports Smartwatch with Answer/Make Call,Fitness Watch,Blood Oxygen,Heart Rate and Sleep Monitor Compatible with iPhone and Android Phones",Military_Smart_Watch_for_,10/26/2023,,,Hvlgmrc,Hvlgmrc,P66,,,,,$39.99,$79.98,,,Android,Bluetooth,Bluetooth,GPS Via Smartphone,,,,,Lithium Polymer,1 Lithium Polymer batteries required. (included),,,,Square,1.96,in,1.96,3.52,ozm,3.52,2.8 x 6.2 x 0.95 inches,1.96 Inches,,,,,,,4.10,"4.1
711 ratings
4.1 out of 5 stars",4.1,711 ratings,4.1 out of 5 stars,711,"#3,120 in Electronics (See Top 100 in Electronics)
#74 in Smartwatches",,,,"Fitness Tracker, Phone Call, Sleep Monitor, Blood Oxygen (SpO2) Monitor, Heart Rate Monitor, Calorie Tracker, Alarm Clock, Stopwatch, Timer, Pedometer, Camera Control, Music Playback/Control, Sedentary Reminder, Weather, Waterproof, Notifications",FALSE,,,,,,,,,,,,,,,,,,,,,,,,
,58,B0CMX53HVW,https://www.amazon.com/Military-Smartwatch-Pedometer-Calories-Waterproof/dp/B0CMX53HVW/ref=zg_bs_g_7939901011_d_sccl_8/139-0075924-6532933?psc=1,"Military Smart Watch for Men, 1.52"" HD Fitness Tracker Smartwatch with Answer/Make Call, Sport Watch with Heart Rate SpO2 Stress and Sleep Monitor Compatible with iPhone and Android Phones, Waterproof",Military_Smart_Watch_for_,11/8/2023,,,Bvlrksc,Bvlrksc,S662024,S662024,,,,$39.99,$99.99,,,Android & iOS,Bluetooth,Bluetooth,,,,,,Lithium Polymer,1 Lithium Polymer batteries required. (included),800 Milliamp Hours,,,Round,1.52,in,1.52,3.84,ozm,3.84,6.5 x 2.9 x 1 inches,1.52 Inches,,,,,,,4.50,"4.5
637 ratings
4.5 out of 5 stars",4.5,637 ratings,4.5 out of 5 stars,637,"#2,555 in Electronics (See Top 100 in Electronics)
#60 in Smartwatches",,English,,"Battery Capacity: 350Milliamp Hours, Fitness Tracker, Phone Call, Notifications, Sleep Monitor, Blood Oxygen Monitor, Heart Rate Monitor, Calorie Tracker, Alarm Clock, Stopwatch, Timer, Pedometer, Camera Control, Music Playback/Control, Weather Forecast, Sedentary Reminder",FALSE,,,,,,,,,,,,,,,,,,,,,,,,
,24,B0CPLSMCD4,https://www.amazon.com/Fitpolo-Watches-Bluetooth-Waterproof-Compatible/dp/B0CPLSMCD4/ref=zg_bs_g_7939901011_d_sccl_24/139-0075924-6532933?psc=1,"Fitpolo Smart Watches for Women, 1.8'' Alexa Built-in Fitness Tracker Watch with Bluetooth Calls, IP68 Waterproof, Heart Rate/Sleep/SpO2 Monitor, 110 Sports Modes Compatible with Android & iPhone",Fitpolo_Smart_Watches_for,2/5/2024,,,,Fitpolo,,IDW208P,China,,,$49.76,$59.95,,,Android & iOS,Bluetooth,Bluetooth,GPS Via Smartphone,128,Mibyte,0.125,,Lithium Polymer,1 D batteries required. (included),300 Milliamp Hours,300 Milliamp Hours,,Square,1.8,in,1.8,0.176,ozm,0.176,10.6 x 3.5 x 0.7 inches,1.8 Inches,,Pink,,,240 x 240,,4.10,"4.1
1,971 ratings
4.1 out of 5 stars",4.1,"1,971 ratings",4.1 out of 5 stars,"1,971","#3,522 in Electronics (See Top 100 in Electronics)
#90 in Smartwatches",womens,,,"Work with Alexa, Bluetooth Call Make/Answer, IP68 Waterproof, Heart Rate/SpO2/Sleep/Stress Monitor, 100 Sports Modes, Pedometer/Calories/Distance Record, Alarm Clock, Message Notification, Music Control and so on",FALSE,"Android 6.0 or above, iOS 9.0 or above",Bluetooth,Bluetooth,"Work with Alexa, Bluetooth Call Make/Answer, IP68 Waterproof, Heart Rate/SpO2/Sleep/Stress Monitor, 100 Sports Modes, Pedometer/Calories/Distance Record, Alarm Clock, Message Notification, Music Control and so on",,Wireless,Touchscreen,,5,g,0.176,128,Mibyte,0.125,,,,,,,,,,
,65,B0CPLT23TZ,https://www.amazon.com/Fitpolo-Watches-Fitness-Bluetooth-Waterproof/dp/B0CPLT23TZ/ref=zg_bs_g_7939901011_d_sccl_15/139-0075924-6532933?psc=1,"Fitpolo Smart Watches for Men/Women, 1.8'' Alexa Built-in Fitness Tracker Watch with Bluetooth Calls, IP68 Waterproof, Heart Rate/Sleep/SpO2/Stress Monitor, 110 Sport Modes for Android & iPhone",Fitpolo_Smart_Watches_for,12/6/2023,,,,Fitpolo,,IDW208P,China,,,$49.76,$77.94,,,Android & iOS,Bluetooth,Bluetooth,GPS Via Smartphone,128,Mibyte,0.125,,Lithium Polymer,1 D batteries required. (included),300 Milliamp Hours,,,Square,1.8,in,1.8,0.176,ozm,0.176,,1.8 Inches,,Black,,,,,4.10,"4.1
1,971 ratings
4.1 out of 5 stars",4.1,"1,971 ratings",4.1 out of 5 stars,"1,971","#4,377 in Electronics (See Top 100 in Electronics)
#116 in Smartwatches",womens,,,"Work with Alexa/Bluetooth Call Make/Answer, IP68 Waterproof, Heart Rate/SpO2/Sleep/Stress Monitor, 110 Sports Modes, Pedometer/Calories/Distance Record, Alarm Clock, Message Notification, Music Control and so on",FALSE,"Android 6.0 or above, iOS 9.0 or above",,Bluetooth,"Work with Alexa, Bluetooth Call Make/Answer, IP68 Waterproof, Heart Rate/SpO2/Sleep/Stress Monitor, 100 Sports Modes, Pedometer/Calories/Distance Record, Alarm Clock, Message Notification, Music Control and so on",,Wireless,Touchscreen,,5,g,0.176,128,Mibyte,0.125,10.6 x 3.5 x 0.7 inches,,,,,,,,,
,28,B0C4DJNMP9,https://www.amazon.com/Fitpolo-Fitness-Activity-Trackers-Android/dp/B0C4DJNMP9/ref=zg_bs_g_7939901011_d_sccl_28/139-0075924-6532933?psc=1,"Fitpolo Smart Watch for Women Android & iPhone, Alexa Built-in [1.8"" HD Screen] IP68 Waterproof Fitness Watch with Bluetooth Call (Answer/Make), Heart Rate/Sleep/SpO2 Monitor, 105+ Sports Trackers",Fitpolo_Smart_Watch_for_W,7/30/2023,,,,Fitpolo,,IDW13,China,,,$49.95,$59.95,,,Android & iOS,Bluetooth,Bluetooth,No GPS,64,Mibyte,0.0625,,Lithium Polymer,1 Lithium Polymer batteries required. (included),300 Milliamp Hours,,,Square,1.8,in,1.8,38.2,g,1.347,1 x 1 x 1 inches,1.8 Inches,,,,,,,4.10,"4.1
4,150 ratings
4.1 out of 5 stars",4.1,"4,150 ratings",4.1 out of 5 stars,"4,150","#2,211 in Electronics (See Top 100 in Electronics)
#46 in Smartwatches","Women, Men, Unisex Adults, Girls",,,"Work with Alexa, Bluetooth Call Make/Answer, IP68 Waterproof, Heart Rate/SpO2/Sleep/Stress Monitor, 105+ Sports Modes, Pedometer/Calories/Distance Record, Alarm Clock, Message Notification, Music Control and so on",FALSE,,,,,,,,,,,,,,,,,,,,,,,,
,73,B09X1NN4YS,https://www.amazon.com/Amazfit-Tracking-Measurement-Analysis-Customizable/dp/B09X1NN4YS/ref=zg_bs_g_7939901011_d_sccl_23/139-0075924-6532933?psc=1,"Amazfit Bip 3 Pro Smart Watch, Step Tracking, Heart Rate Monitor, Blood Oxygen Measurement, GPS, 14-Day Battery Life, Sleep Quality Analysis, Customizable Watch Faces (Black)",Amazfit_Bip_3_Pro_Smart_W,6/15/2022,,,Amazfit,Amazfit,,A2171-Black,China,No,,$49.99,$69.99,,,Amazfit OS,Bluetooth,Bluetooth,GPS Enabled,2300,Mibyte,2.24609375,,Lithium Ion,1 Lithium Ion batteries required. (included),,,,Square,1.69,in,1.69,1.17,ozm,1.17,1.73 x 1.43 x 0.37 inches,1.69 Inches,,Black,,,,,4.20,"4.2
5,657 ratings
4.2 out of 5 stars",4.2,"5,657 ratings",4.2 out of 5 stars,"5,657","#1,939 in Electronics (See Top 100 in Electronics)
#36 in Smartwatches",unisex adult,,,"Heart Rate Monitor, Water Resistant, Oxymeter (SpO2), Multisport Tracker, GPS, Sleep Monitor, Notifications, Music Player, Sedentary Reminder, Alarm Clock",FALSE,Amazfit OS,Bluetooth,Bluetooth,"Heart Rate Monitor, Water Resistant, Oxymeter (SpO2), Multisport Tracker, GPS, Sleep Monitor, Notifications, Music Player, Sedentary Reminder, Alarm Clock",,Wireless,Touchscreen,"User Manual, Magnetic Charging Cable, Smart Watch",1.17,ozm,1.17,,,,,,,,,,,,,
,32,B0CZLMTPZD,https://www.amazon.com/Smart-Watch-Women-Fitness-Tracker/dp/B0CZLMTPZD/ref=zg_bs_g_7939901011_d_sccl_32/139-0075924-6532933?psc=1,Smart Watch for Women Fitness Tracker: Gold Smart Watches for Women Digital Mens Watches Make/Answer Call Waterproof Running Smartwatch Android Phone iPhone Samsung Compatible Heart Rate Monitor,Smart_Watch_for_Women_Fit,4/1/2024,,,Boquaw,Boquaw,,P90GDGD,,,,$53.99,$59.99,,,Android & iOS,,Bluetooth,,,,,,Lithium Polymer,1 Lithium Polymer batteries required. (included),,,,,1.85,in,1.85,4.2,ozm,4.2,,1.85 Inches,Modern,Gold,10.71 x 3.43 x 0.67 inches,,,,4.10,"4.1
591 ratings
4.1 out of 5 stars",4.1,591 ratings,4.1 out of 5 stars,591,"#1,919 in Electronics (See Top 100 in Electronics)
#33 in Smartwatches",mens,,,"Fitness Tracker, Phone Call, Sleep Monitor, Blood Oxygen (SpO2) Monitor, Heart Rate Monitor, Calorie Tracker, Alarm Clock, Stopwatch, Timer, Pedometer, Camera Control, Music Playback/Control, Sedentary Reminder, Weather, Waterproof, Notifications., 1)Fashionable Full Touch Screen Design with classic screen and HD glass screen (color on-screen display) 2)Adjustable grade silicone strap is healthy, environmentally friendly, and very comfortable to wear. 3)Excellent hiking watches / outdoor watch 4）All-day activity tracker. (Distance / steps / calories) 5）fitness tracker (breathing training / blood oxygen / heart rate / sleep monitoring)",FALSE,,,,,,,,,,,,,,,,Adult,Smartphone,,,,,,,
,98,B0BYRMQ3NJ,https://www.amazon.com/Military-Waterproof-Fitness-Pressure-Smartwatch/dp/B0BYRMQ3NJ/ref=zg_bs_g_7939901011_d_sccl_98/139-0075924-6532933?psc=1,"Military Smart Watch for Men(Answer/Dial Calls),100 Sports Modes, 5ATM Waterproof Fitness Watch with Heart Rate/SpO2/Blood Pressure for Android and iOS,1.39''HD DIY Screen Smartwatch Black",Military_Smart_Watch_for_,3/17/2023,,,SUNKTA,SUNKTA,BW1846A-1,BW1846A-1,China,,,$55.99,$99.99,,,Android & iOS,Bluetooth,Bluetooth,,128,Mibyte,0.125,,Lithium Polymer,1 Lithium Metal batteries required. (included),,,,Round,1.39,in,1.39,70,g,2.469,8.66 x 1.81 x 0.51 inches,1.39 Inches,,,,,,,4.10,"4.1
1,851 ratings
4.1 out of 5 stars",4.1,"1,851 ratings",4.1 out of 5 stars,"1,851","#3,250 in Electronics (See Top 100 in Electronics)
#77 in Smartwatches",,,,"Bluetooth calls, notifications, voice assistants,100 sport modes,stopwatch, health tracker, alarm clocks,timer,weather forecast, password lock, find watch & phone, calculator, collection code, business card, 27 languages, pedometer, distance, calories,music&camera control, do not disturb mode, brightness setting",FALSE,,,,,,,,,,,,128,Mibyte,0.125,,,,,,,,,,
,48,B0BFQ5PK63,https://www.amazon.com/Receive-Fitness-Tracking-Waterproof-Smartwatch/dp/B0BFQ5PK63/ref=zg_bs_g_7939901011_d_sccl_48/139-0075924-6532933?psc=1,"Smart Watch for Women Android & iPhone, Alexa Built-in, 1.8"" Touch Screen Fitness Tracker with Answer/Make Calls, IP68 Waterproof Heart Rate/Sleep/SpO2 Monitor, Pedometer, 100+ Sport Modes",Smart_Watch_for_Women_And,9/19/2022,,,,Tensky,,208BT,China,,,$59.99,$79.99,,,Android & iOS,Bluetooth,Bluetooth,GPS Via Smartphone,512,Mibyte,0.5,,Lithium Polymer,1 Lithium Ion batteries required. (included),300 Milliamp Hours,,,Square,1.8,in,1.8,,,,,1.8 Inches,,,,,,,4.10,"4.1
5,319 ratings
4.1 out of 5 stars",4.1,"5,319 ratings",4.1 out of 5 stars,"5,319","#4,005 in Electronics (See Top 100 in Electronics)
#103 in Smartwatches",,,,"(1) Fashionable full touch screen design with classic screen and HD glass screen (2) Adjustable grade silicone strap is healthy, skin-friendly and very comfortable to wear (3) Excellent smart watch: Bluetooth call-answer and make calls, Alexa built-in, message notification (4) Accurate Health Monitor: breathing training/heart rate/sleep monitoring (5) All-day activity tracker: 100+ Sports Modes/IP68 Waterproof /Distance/steps / calories (6) 30-day standby time",FALSE,,,,,,,,,,,,,,,,,,,,,,,,
,89,B0BZYTXDPN,https://www.amazon.com/Fitpolo-Workouts-Waterproof-Activity-Smartwatches/dp/B0BZYTXDPN/ref=zg_bs_g_7939901011_d_sccl_89/139-0075924-6532933?psc=1,"Fitpolo Smart Watch for Men Women,1.8” Touchscreen, Bluetooth Call, Alexa Built-in,24/7 Heart Rate, SpO2 Monitor, Step Counting, Sleep Tracking,IP68 Waterproof Fitness Tracker Watch for Android iPhone",Fitpolo_Smart_Watch_for_M,4/24/2023,,,,Fitpolo,,IDW15,China,,,$59.99,$70.99,,,Android & iOS,Bluetooth,Bluetooth,GPS Via Smartphone,128,Mibyte,0.125,,Lithium Polymer,1 Lithium Metal batteries required. (included),300 Milliamp Hours,0.3 Amp Hours,,Square,45,mm,1.772,1.4,ozm,1.4,1 x 0.2 x 0.2 inches,45 Millimeters,,Black,,,,,4.00,"4.0
414 ratings
4.0 out of 5 stars",4,414 ratings,4.0 out of 5 stars,414,"#5,839 in Electronics (See Top 100 in Electronics)
#156 in Smartwatches",,English,,"Color Touchscreen,Time Display,Oxymeter (SpO2),Phone Call,Custom Watch Face,GPS,100 Sport Modes,Heart Rate Monitor,Sleep Monitor,Pedometer,Activity Tracker,Calorie Tracker,Stress Tracking,Daily Workout Memory,Weather Forecast,Sedentary Reminder,Cycle Tracking,Alarm Clock,Stopwatch,Timer",FALSE,Android & iPhone compatible watch,Bluetooth,Bluetooth,"Color Touchscreen,Time Display,Oxymeter (SpO2),Phone Call,Custom Watch Face,GPS,100 Sport Modes,Heart Rate Monitor,Sleep Monitor,Pedometer,Activity Tracker,Calorie Tracker,Stress Tracking,Daily Workout Memory,Weather Forecast,Sedentary Reminder,Cycle Tracking,Alarm Clock,Stopwatch,Timer",,Wireless,Touchscreen,"Fitpolo IDW15 smartwatch *1, Magnetic charging cable *1, User's guide *1",1.4,ozm,1.4,64,Mibyte,0.0625,,,,,,,,,,
,66,B0D4YFFBKW,https://www.amazon.com/Smart-Watch-Men-Fitness-Tracker/dp/B0D4YFFBKW/ref=zg_bs_g_7939901011_d_sccl_16/139-0075924-6532933?psc=1,Smart Watch for Men Fitness Tracker: Military Smart Watches for Men Digital Mens Watches Make/Answer Call Running Waterproof Smartwatch Android Phones iPhone Samsung Compatible Heart Rate Monitor,Smart_Watch_for_Men_Fitne,5/23/2024,,,Kimeag,Kimeag,,H31,,,,$59.99,$99.00,,LCD,Android & iOS,,,,,,,,Lithium Polymer,1 Lithium Polymer batteries required. (included),,,,,1.91,in,1.91,5.3,ozm,5.3,,1.91 Inches,,Black,11.34 x 3.58 x 0.75 inches,,,,3.90,"3.9
324 ratings
3.9 out of 5 stars",3.9,324 ratings,3.9 out of 5 stars,324,"#2,455 in Electronics (See Top 100 in Electronics)
#57 in Smartwatches",mens,,,"Fitness Tracker, Phone Call, Sleep Monitor, Blood Oxygen (SpO2) Monitor, Heart Rate Monitor, Calorie Tracker, Alarm Clock, Stopwatch, Timer, Pedometer, Camera Control, Music Playback/Control, Sedentary Reminder, Weather, Waterproof, Notifications., 1)Fashionable Full Touch Screen Design with classic screen and HD glass screen (color on-screen display) 2)Adjustable grade silicone strap is healthy, environmentally friendly, and very comfortable to wear. 3)Excellent hiking watches / outdoor watch 4）All-day activity tracker. (Distance / steps / calories) 5）fitness tracker (breathing training / blood oxygen / heart rate / sleep monitoring)",FALSE,Android and ios,Bluetooth,,"Fitness Tracker, Phone Call, Sleep Monitor, Blood Oxygen (SpO2) Monitor, Heart Rate Monitor, Calorie Tracker, Alarm Clock, Stopwatch, Timer, Pedometer, Camera Control, Music Playback/Control, Sedentary Reminder, Weather, Waterproof, Notifications., 1)Fashionable Full Touch Screen Design with classic screen and HD glass screen (color on-screen display) 2)Adjustable grade silicone strap is healthy, environmentally friendly, and very comfortable to wear. 3)Excellent hiking watches / outdoor watch 4）All-day activity tracker. (Distance / steps / calories) 5）fitness tracker (breathing training / blood oxygen / heart rate / sleep monitoring)",,,"Dial, Touchscreen",,,,,,,,,Adult,Smartphone,Metal,,,,,,
,87,B0CVVR6D2S,https://www.amazon.com/Fitpolo-Watches-Display-Fitness-Bluetooth/dp/B0CVVR6D2S/ref=zg_bs_g_7939901011_d_sccl_87/139-0075924-6532933?psc=1,"Fitpolo Smart Watches for Women, 1.99” Large AMOLED Display Fitness Tracker Watch with AI Voice, Bluetooth Call, Heart Rate/SpO2/Sleep/Stress Monitor, 12 Days Battery, 105 Sport Modes",Fitpolo_Smart_Watches_for,5/20/2024,,,,Fitpolo,,GTX12,China,,,$79.95,$99.95,,,Android & iOS,Bluetooth,Bluetooth,GPS Via Smartphone,512,Mibyte,0.5,,Lithium Polymer,1 Lithium Polymer batteries required. (included),350 Milliamp Hours,350 Milliamp Hours,,Square,1.99,in,1.99,3.04,ozm,3.04,,1.99 Inches,,Pink,11.1 x 3.54 x 0.75 inches,,,,4.30,"4.3
414 ratings
4.3 out of 5 stars",4.3,414 ratings,4.3 out of 5 stars,414,"#10,073 in Electronics (See Top 100 in Electronics)
#259 in Smartwatches",,,,"Bluetooth Call Make/Answer, Message Notification, AI Voice Command, 3 ATM Waterproof, 12 Days Battery Life, 105 Sports Modes, Pedometer/Calories/Distance Record, Always-on-Display mode, Alarm Clock/Timer/Stop Watch/Games, Music Control and so on",FALSE,"iOS 9.0 or above, Android 6.0 or above",,Bluetooth,"Bluetooth Call Make/Answer, Message Notification, AI Voice Command, 3 ATM Waterproof, 12 Days Battery Life, 105 Sports Modes, Pedometer/Calories/Distance Record, Always-on-Display mode, Alarm Clock/Timer/Stop Watch/Games, Music Control and so on",,Wireless,Touchscreen,,3.04,ozm,3.04,512,Mibyte,0.5,,,,,,,,,,
,91,B0D7PVLVSB,https://www.amazon.com/Android-Waterproof-Activity-Bluetooth-Smartwatch/dp/B0D7PVLVSB/ref=zg_bs_g_7939901011_d_sccl_91/139-0075924-6532933?psc=1,"Smart Watch for Women Android & iPhone, Alexa Built-in, IP68 Waterproof Activity Fitness Tracker with Bluetooth Call (Answer/Make), 1.8"" Smartwatch with Heart Rate/SpO2/Sleep Monitor, 100+ Sports Mode",Smart_Watch_for_Women_And,6/21/2024,,,,Gydom,,IDW19 Pink,China,,,$79.98,$99.99,,,Android,Bluetooth,Bluetooth,GPS Via Smartphone,128,Mibyte,0.125,,Lithium Polymer,1 Lithium Polymer batteries required. (included),300 Milliamp Hours,,,Rectangular,1.8,in,1.8,3.52,ozm,3.52,,1.8 Inches,,,11.77 x 3.82 x 0.91 inches,,,,4.30,"4.3
366 ratings
4.3 out of 5 stars",4.3,366 ratings,4.3 out of 5 stars,366,"#2,305 in Electronics (See Top 100 in Electronics)
#51 in Smartwatches",,English,,"Voice Call, Sleep Monitor, Sleep Duration, Heart Rate Monitor, Blood Oxygen (SpO2), Cycle Tracking, Breath Monitor, Stress, Activity Tracker, Accelerometer, Custom Activity Tracking, Multisport Tracker, Calorie Tracker, Calories Burned, Distance Tracker, Pedometer, Step Count, Daily Workout Memory, Weather Forecast, Sedentary Reminder, Lightweight, Camera, Time Display, Touchscreen, Alarm Clock, Music Player, Voice Control, Phone Call, Notifications, Find the Phone",FALSE,,,,,,,,,,,,128,Mibyte,0.125,,,,,,,,,,
