ID Info,,ASIN,URL,title,title_short,date_released,Maker Info,Brand,manufacturer,Model Name,item_model,cntry_of_origin,Is Discontinued By Manufacturer,Monetary Info,price_actual,price_list,Hardware,Operating System,OS,Connectivity Technology,Wireless Communication Standard,GPS,Wireless communication technologies,Display technology,Other display features,Human Interface Input,memory_capacity,memory_capacity_2,memory_capacity_mb,Battery,Battery Cell Composition,battery_type,battery_num,battery_capac,Battery Life,Physical Features,Style,Shape,Screen Size,Starting Units of Measurement,scrn_size_inch,Color,Product Dimensions,Item Weight,raw_wght_units,weight_in_oz,"Info about Listing (ie. Review info, ratings, etc.)",rvw_avg,Customer Reviews,cutomer_reviews_1,cutomer_reviews_2,cutomer_reviews_3,num_of_ratings,Best Sellers Rank,,Special Feature,See More?
,93,B07VJXBYKW,https://www.amazon.com/scarDS-Replacement-ID115PlusHR-Pedometer-Wristbands/dp/B07VJXBYKW/ref=zg_bs_g_5393958011_d_sccl_91/145-0980347-9463126?psc=1,"Replacement Bands for Fitness Tracker ID115Plus HR, Pedometer Wristbands, Very Fit Pro Watch Band Replacement for Activity Tracker Straps, ONLY for ID115 Plus, ID115 PlusHR, ID130 Plus HR",Replacement_Bands_for_Fit,7/18/2019,,,,,,,,,$7.99,$4.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,"4.2
350 ratings
4.2 out of 5 stars",4.2,350 ratings,4.2 out of 5 stars,350,"#25,360 in Sports & Outdoors (See Top 100 in Sports & Outdoors)
#121 in Activity & Fitness Trackers
#250 in Electronics & Gadgets",,,FALSE
,59,B09XQYWXN1,https://www.amazon.com/Silicone-Wristband-Replacement-Special-Fitness/dp/B09XQYWXN1/ref=zg_bs_g_5393958011_d_sccl_41/145-0980347-9463126?psc=1,"4 Pack Bands for Fitbit Luxe Bands, Soft Silicone Wristband Replacement Strap for Fitbit Luxe/Luxe Special Edition Fitness Tracker Women Men (Small, Gold/Rose Gold/Wine Red/Navy Blue)",4_Pack_Bands_for_Fitbit_L,4/12/2022,,,Amzpas,,,,,,$8.99,Check Page,,,,,,,,,Wireless,,,,,,,,,,,,,,,,,Gold/Rose Gold/Wine Red/Navy Blue,,1.44,ozm,1.44,,4.4,"4.4
967 ratings
4.4 out of 5 stars",4.4,967 ratings,4.4 out of 5 stars,967,"#5,870 in Sports & Outdoors (See Top 100 in Sports & Outdoors)
#44 in Activity & Fitness Trackers",,,FALSE
,62,B088RFL4P8,https://www.amazon.com/ZURURU-Veryfitpro-ID115Plus-Replacement-Veryfit/dp/B088RFL4P8/ref=zg_bs_g_5393958011_d_sccl_46/145-0980347-9463126?psc=1,ZURURU Veryfitpro ID115Plus HR Replacement Bands for Veryfit Pro ID115Plus HR Fitness Tracker Smart Watch,ZURURU_Veryfitpro_ID115Pl,9/6/2019,,,,,,,,,$8.99,$9.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,"4.6
6,778 ratings
4.6 out of 5 stars",4.6,"6,778 ratings",4.6 out of 5 stars,6778,"#6,658 in Sports & Outdoors (See Top 100 in Sports & Outdoors)
#48 in Activity & Fitness Trackers",,,FALSE
,94,,https://www.amazon.com/ZURURU-Replacement-Band-Fitness-Tracker/dp/B08237CL4B/ref=zg_bs_g_5393958011_d_sccl_92/145-0980347-9463126?psc=1,ZURURU Replacement Bands Y39 Fitness Tracker,ZURURU_Replacement_Bands_,,,,,,,,,,$8.99,Check Page,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,,,,#VALUE!,,,,FALSE
,65,,https://www.amazon.com/Fitbit-Adjustable-Stainless-Wristbands-Replacement/dp/B0B4W67S51/ref=zg_bs_g_5393958011_d_sccl_49/145-0980347-9463126?psc=1,"Metal Mesh Loop Bands for Fitbit Charge 5/Charge 6 Band for Women Men, Adjustable Stainless Steel Wristbands Replacement Straps for Charge 5/6 Activity Tracker",Metal_Mesh_Loop_Bands_for,,,,,,,,,,$9.98,Check Page,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,,,,,#VALUE!,,,,FALSE
,50,,https://www.amazon.com/Vanjua-Compatible-Stainless-Adjustable-Replacement/dp/B09NW29VXJ/ref=zg_bs_g_5393958011_d_sccl_32/145-0980347-9463126?psc=1,"Vanjua Metal Band Compatible with Fitbit Luxe Bands, Stainless Steel Mesh Loop Adjustable Wristband Replacement Strap for Fitbit Luxe/Luxe Special Edition Fitness Tracker Women Men",Vanjua_Metal_Band_Compati,,,,,,,,,,$9.99,Check Page,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,,,,,#VALUE!,,,,FALSE
,60,B09P89S4L4,https://www.amazon.com/Maledan-Compatible-Adjustable-Replacement-Wristbands/dp/B09P89S4L4/ref=zg_bs_g_5393958011_d_sccl_42/145-0980347-9463126?psc=1,"Maledan Slim Band Compatible with Fitbit Charge 5 Bands/Charge 6 Bands Women Men, Soft Silicone Adjustable Sport Band Wristbands for Fitbit Charge 5/Charge 6 Fitness Tracker, 3 Pack Black/Gray/Pink",Maledan_Slim_Band_Compati,12/27/2021,,,Maledan,,,,,,$9.99,$3.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.13,ozm,1.13,,4.3,"4.3
1,337 ratings
4.3 out of 5 stars",4.3,"1,337 ratings",4.3 out of 5 stars,1337,"#11,449 in Sports & Outdoors (See Top 100 in Sports & Outdoors)
#68 in Activity & Fitness Trackers
#149 in Electronics & Gadgets",,,FALSE
,61,B0CFFG8Q92,https://www.amazon.com/Waterproof-Compatible-Classic-Replacement-Wristbands/dp/B0CFFG8Q92/ref=zg_bs_g_5393958011_d_sccl_44/145-0980347-9463126?psc=1,"2 Pack Waterproof Bands Compatible with Fitbit Charge 5 / Fitbit Charge 6 for Women Men, Classic Soft Sports Replacement Wristbands for Women Men (Large 7.1''-9.1'', black/black)",2_Pack_Waterproof_Bands_C,8/11/2023,,,,,,,,,$9.99,Check Page,,,,,,,,,,,,,,,,,,,,,,,,,,,3.15 x 1.18 x 0.39 inches,0.634,ozm,0.634,,4.3,"4.3
175 ratings
4.3 out of 5 stars",4.3,175 ratings,4.3 out of 5 stars,175,"#8,100 in Sports & Outdoors (See Top 100 in Sports & Outdoors)
#53 in Activity & Fitness Trackers",,,FALSE
,71,,https://www.amazon.com/Stainless-Adjustable-Wristband-Replacement-Compatible/dp/B0C5LHVQZN/ref=zg_bs_g_5393958011_d_sccl_9/145-0980347-9463126?psc=1,"Metal Band for Fitbit Luxe Bands Women Men, Stainless Steel Mesh Loop Adjustable Magnetic Wristband Replacement Strap Compatible with Fitbit Luxe Fitness and Wellness Tracker",Metal_Band_for_Fitbit_Lux,,,,,,,,,,$9.99,Check Page,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,,,,,#VALUE!,,,,FALSE
,89,,https://www.amazon.com/Tobfit-Compatible-Waterproof-Replacement-Wristbands/dp/B0CKXJ6SRW/ref=zg_bs_g_5393958011_d_sccl_87/145-0980347-9463126?psc=1,"Tobfit 6 PACK Sport Bands Compatible with Fitbit Charge 2 Bands for Women Men, Soft Silicone Waterproof Straps Replacement Wristbands for Fitbit Charge 2 / Charge 2 HR Fitness Tracker",Tobfit_6_PACK_Sport_Bands,,,,,,,,,,$9.99,Check Page,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,,,,,#VALUE!,,,,FALSE
,92,,https://www.amazon.com/Puhuite-Compatible-Charge-Adjustable-Replacement/dp/B0CHRG65F2/ref=zg_bs_g_5393958011_d_sccl_90/145-0980347-9463126?psc=1,"Bands Compatible with Fitbit Charge 2 Bands for Women Men, Classic & Special Edition Adjustable Stretchy Nylon Replacement Strap Wristbands for Fitbit Charge 2",Bands_Compatible_with_Fit,,,,,,,,,,$9.99,Check Page,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,,,,,#VALUE!,,,,FALSE
,28,B09JFJ3C67,https://www.amazon.com/Fitness-Tracker-Activity-Reminder-Pedometer/dp/B09JFJ3C67/ref=zg_bs_g_5393958011_d_sccl_4/145-0980347-9463126?psc=1,"EURANS Kids Fitness Tracker for Boys Girls Teens, IP68 Waterproof Activity Tracker with Heart Rate, Blood Oxygen & Sleep Monitor, Alarm Clock, Calorie Counter, Step Counter",EURANS_Kids_Fitness_Track,1/20/2022,,EURANS,Eurans,,ID115PLUSHR,,,,$18.99,Check Page,,"Android, iOS",iOS 7.1 & higher/Android 4.4 & higher systems,Wi-Fi,Bluetooth,GPS via Smartphone,Bluetooth,OLED,Wireless,Buttons,,,,,Lithium Polymer,Lithium Ion,1,,,,Sport,Rectangular,0.96,in,0.96,Blue,5.6 x 3.4 x 0.7 inches,2.39,ozm,2.39,,3.8,"3.8
1,954 ratings
3.8 out of 5 stars",3.8,"1,954 ratings",3.8 out of 5 stars,1954,"#12,236 in Sports & Outdoors (See Top 100 in Sports & Outdoors)
#76 in Activity & Fitness Trackers",,"Sleep Monitor, Pedometer, Calorie Counter, Time display, Camera Control, Sedentary Reminder, IP68 waterproof, Multisport Tracker, Notifications (calls/Message/email/texts), Heart Rate Monitor, Spo2 Monitor",FALSE
,31,B09T5MNPD3,https://www.amazon.com/GEAK-Compatible-Silicone-Replacement-Wristbands/dp/B09T5MNPD3/ref=zg_bs_g_5393958011_d_sccl_28/145-0980347-9463126?psc=1,"GEAK 4 Pack Slim Band Compatible with Fitbit Charge 5/Charge 6 Bands Women Men, Soft Silicone Sport Replacement Wristband for Fitbit Charge 5/Charge 6 Fitness Tracker, Black/Plum/Blue Gray/Pine Green",GEAK_4_Pack_Slim_Band_Com,2/23/2022,,,GEAK,,C5-blackbluegaryplumpine,China,,,$12.99,Check Page,,,,,,,,,Wireless,,,,,,,,,,,,,,,,,Black/Plum/Blue Gray/Pind Green,,1.44,ozm,1.44,,4.4,"4.4
535 ratings
4.4 out of 5 stars",4.4,535 ratings,4.4 out of 5 stars,535,"#19,865 in Sports & Outdoors (See Top 100 in Sports & Outdoors)
#101 in Activity & Fitness Trackers",,,FALSE
,98,B0CT3ML6Z5,https://www.amazon.com/Maledan-Compatible-Waterproof-Stretchy-Replacement/dp/B0CT3ML6Z5/ref=zg_bs_g_5393958011_d_sccl_96/145-0980347-9463126?psc=1,"Maledan 3 Pack Elastic Band Compatible for Fitbit Charge 4 /Charge 3 Bands Men Women, Waterproof Braided Stretchy Replacement Strap Soft Nylon Wrist Bands for Charge 4/ Charge 3/ 3SE, Black Gray Green",Maledan_3_Pack_Elastic_Ba,1/23/2024,,,Maledan,,,,,,$12.99,Check Page,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.76,ozm,1.76,,4.6,"4.6
1,935 ratings
4.6 out of 5 stars",4.6,"1,935 ratings",4.6 out of 5 stars,1935,"#15,433 in Sports & Outdoors (See Top 100 in Sports & Outdoors)
#127 in Activity & Fitness Trackers",,,FALSE
,21,B0BVDTPB9X,https://www.amazon.com/KALINCO-Pressure-Activity-Pedometer-Calories/dp/B0BVDTPB9X/ref=zg_bs_g_5393958011_d_sccl_10/145-0980347-9463126?psc=1,"KALINCO Slim Fitness Tracker, Smart Watch with Heart Rate, Blood Oxygen, Blood Pressure and Sleep Monitor, Activity Tracker & Pedometer, Calories Step Counter for Women Men, 2 Bands Included",KALINCO_Slim_Fitness_Trac,2/10/2023,,KALINCO,,P76,,,,,$35.99,Check Page,,,,Wi-Fi,Bluetooth,FALSE,,,,,,,,,Lithium Polymer,,,,,,Modern,Rectangular,1.47,in,1.47,,,,,,,3.8,"3.8
3,655 ratings
3.8 out of 5 stars",3.8,"3,655 ratings",3.8 out of 5 stars,3655,"#11,826 in Sports & Outdoors (See Top 100 in Sports & Outdoors)
#73 in Activity & Fitness Trackers",,"2 Straps: 1 Silicone Strap + 1 Stainless Steel Strap, Fitness Tracker, 20+ Sports Modes Tracking, Step/Calories Counter, Call/Message Notification, Alarm, Timer, Stopwatch, Outdoors Watch, Heart Rate/Blood Pressure/Blood Oxygen/Sleep Monitor, Breath Training, Female Cycle Record, All day Tracking Activity Tracker",FALSE
,95,B0D63BQLLQ,https://www.amazon.com/SmartWatch-SleepTracker-Pedometer-Waterproof-Activity/dp/B0D63BQLLQ/ref=zg_bs_g_5393958011_d_sccl_93/145-0980347-9463126?psc=1,"Fitness Tracker 2024 (Answer/Make Calls),Smart watch for Men Women,1.85'' Smartwatch with 24/7 Heart Rate and SpO2,SleepTracker,100+Sport,Pedometer,IP68 Waterproof Activity Trackers for Android iPhone",Fitness_Tracker_2024_(Ans,6/4/2024,,Blackview,Blackview,,R30Pro,China,,,$39.99,$59.99,,"Android, iOS",,Bluetooth,,GPS via Smartphone,,,,,128,Mibyte,0.125,,Lithium Ion,Lithium Ion,1,300 Amp Hours,,,,Square,1.85,in,1.85,,,3.52,ozm,3.52,,4.5,"4.5
104 ratings
4.5 out of 5 stars",4.5,104 ratings,4.5 out of 5 stars,104,"#8,402 in Sports & Outdoors (See Top 100 in Sports & Outdoors)
#48 in Electronics & Gadgets
#56 in Activity & Fitness Trackers",,"2 Watch Bands(Silicone+Nylon), Bluetooth Answer/Make calls/AI Control, Notifications,, Activity Tracker, Sleep tracker, Heart Rate Monitor, Calorie Consumption, Sedentary Reminder,drink water reminder,Weather Forecast, Music/Camera Control, Calls&Messages Notification, Pedometer, IP68 Waterproof/100 Sports Modes, alarm, timer, stopwatch, calendar, calculator, games, menstrual cycle tracker",FALSE
,49,B0D5HR4J4C,https://www.amazon.com/Fitness-Activity-Trackers-Pedometer-Waterproof/dp/B0D5HR4J4C/ref=zg_bs_g_5393958011_d_sccl_30/145-0980347-9463126?psc=1,"Health Fitness Tracker, 24/7 Heart Rate/SpO2/Sleep Monitor, Activity Trackers & Smart Watches with Step Calorie Counter Pedometer, 21-Day Battery, IP68 Waterproof Fitness Watches for Women Men","Health_Fitness_Tracker,_2",6/8/2024,,anyloop,,,,,,,$49.98,$69.97,,anyloop APP,,Bluetooth,Bluetooth,GPS via Smartphone,,,,,,,,,Lithium Polymer,,,280 Milliamp Hours,,,,Rectangular,1.47,in,1.47,,,,,,,4.3,"4.3
308 ratings
4.3 out of 5 stars",4.3,308 ratings,4.3 out of 5 stars,308,"#4,491 in Sports & Outdoors (See Top 100 in Sports & Outdoors)
#26 in Electronics & Gadgets
#33 in Activity & Fitness Trackers",,"24/7 Heart Rate, Blood-Oxygen Monitor, Sleep Tracking, Pedometer, Calorie Tracker, Activity & Fitness Trackers, IP68 Waterproof, 20+ Sport modes, Menstrual Cycle, Smart Notifications, Incoming Call Reminders, Weather, Do Not Disturb Mode, Power Saving Mode, Music Player, Flashlight, Time Display, 100+ Watch Faces, Customized Dials, Calculator, Alarm, Find Phone, Sedentary Reminder, Drinking Water Reminder, Camera Control",FALSE
,96,,https://www.amazon.com/Maledan-Compatible-Breathable-Accessories-Wristbands/dp/B0C8HTRXYM/ref=zg_bs_g_5393958011_d_sccl_94/145-0980347-9463126?psc=1,"Maledan 8 Pack Band Compatible with Fitbit Charge 5/Charge 6 Bands for Women Men, Soft Slim Silicone Waterproof Sport Strap Replacement Wristband Accessories for Fitbit Charge 5/6 Fitness Tracker",Maledan_8_Pack_Band_Compa,,,,,,,,,,$16.99,Check Page,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,,,,,#VALUE!,,,,FALSE
,37,B08PF9V27X,https://www.amazon.com/ENGERWALL-Smartwatch-Temperature-Pedometer-Notifications/dp/B08PF9V27X/ref=zg_bs_g_5393958011_d_sccl_9/145-0980347-9463126?psc=1,"ENGERWALL Fitness Tracker with Step Counter/Calories/Stopwatch, Activity Tracker with Heart Rate Monitor, IP68, Health Tracker with Sleep Tracker, Smartwatch, Pedometer Watch for Women Men Kids",ENGERWALL_Fitness_Tracker,12/5/2020,,ENGERWALL,,New upgrade (S5-3),,,,,$20.99,$29.99,,,,Bluetooth,Bluetooth,GPS via Smartphone,,,,,,,,,Lithium Polymer,,,100 Milliamp Hours,,,,Rectangular,0.96,in,0.96,,,,,,,3.7,"3.7
6,694 ratings
3.7 out of 5 stars",3.7,"6,694 ratings",3.7 out of 5 stars,6694,"#2,153 in Sports & Outdoors (See Top 100 in Sports & Outdoors)
#14 in Activity & Fitness Trackers",,"Activity Tracker, Blood Pressure Monitor, Sleep Monitor, Notifications, GPS, Pedometer, Body Temperature Monitor, Waterproof, Sedentary Reminder, Oxymeter (SpO2)",FALSE
,55,B09M3LQ6WB,https://www.amazon.com/Fitness-Tracker-Waterproof-Activity-Temperature/dp/B09M3LQ6WB/ref=zg_bs_g_5393958011_d_sccl_37/145-0980347-9463126?psc=1,"Fitness Tracker for Men and Women,Fitness Watch Waterproof with Activity Tracker and Sleep Monitor,Smart Watch for Android and iOS Phones",Fitness_Tracker_for_Men_a,11/17/2021,,,,,,,,,$21.99,Check Page,,"Android, iOS",,Bluetooth,Bluetooth,GPS via Smartphone,,,,,512,Mibyte,0.5,,Lithium Polymer,,,105 Milliamp Hours,,,,Rectangular,0.96,in,0.96,,,,,,,3.7,"3.7
3,318 ratings
3.7 out of 5 stars",3.7,"3,318 ratings",3.7 out of 5 stars,3318,"#11,777 in Sports & Outdoors (See Top 100 in Sports & Outdoors)
#71 in Activity & Fitness Trackers",,"Activity Tracker, Heart Rate Monitor,Blood Pressure Monitor, Sleep Monitor, Notifications, Pedometer, Body Temperature Monitor, Waterproof, Sedentary Reminder",FALSE
,39,B0D5QHDP6Y,https://www.amazon.com/Pressure-Calories-Waterproof-Activity-Trackers/dp/B0D5QHDP6Y/ref=zg_bs_g_5393958011_d_sccl_11/145-0980347-9463126?psc=1,"Health Fitness Tracker, Smart Watch with 24/7 Heart Rate Blood Pressure Blood Oxygen Monitor, Sleep Tracker, Calories & Step Tracker, IP68 Waterproof Activity Trackers for Android&iPhone Women Men","Health_Fitness_Tracker,_S",6/30/2024,,,RLQA,,Band 2,China,,,$49.99,$79.99,,"Android, iOS",,Wi-Fi,Bluetooth,GPS via Smartphone,,,,,64,Mibyte,0.0625,,Lithium Polymer,Lithium Ion,1,200 Milliamp Hours,,,,Rectangular,1.47,in,1.47,,10.63 x 2.76 x 0.67 inches,85,g,2.998,,4.3,"4.3
461 ratings
4.3 out of 5 stars",4.3,461 ratings,4.3 out of 5 stars,461,"#1,080 in Sports & Outdoors (See Top 100 in Sports & Outdoors)
#5 in Activity & Fitness Trackers
#6 in Electronics & Gadgets",,"Activity Tracker, Sleep tracker, Blood Pressure Monitor, Heart Rate Monitor, Calorie Consumption, Sedentary Reminder, Weather Forecast, Music/Camera Control, Calls&Messages Notification, Pedometer",FALSE
,43,B0CYLB55LB,https://www.amazon.com/Fitness-Pedometer-Waterproof-Activity-Trackers/dp/B0CYLB55LB/ref=zg_bs_g_5393958011_d_sccl_18/145-0980347-9463126?psc=1,"Fitness Tracker 2024 (Answer/Make Call),Smart Watch with 24/7 Heart Rate Blood Oxygen Monitor,Sleep Tracker,100+ Sports Modes,Pedometer,IP68 Waterproof Activity Trackers for Android&iPhone Women Men",Fitness_Tracker_2024_(Ans,3/20/2024,,,Blackview,,R50,China,,,$39.99,$79.98,,"Android, iOS",,Bluetooth,Bluetooth,GPS via Smartphone,,,,,128,Mibyte,0.125,,Lithium,AAAA,2,350 Milliamp Hours,,,,Square,1.85,in,1.85,,,3.52,ozm,3.52,,4.4,"4.4
416 ratings
4.4 out of 5 stars",4.4,416 ratings,4.4 out of 5 stars,416,"#3,276 in Sports & Outdoors (See Top 100 in Sports & Outdoors)
#24 in Activity & Fitness Trackers",,"Aluminum alloy case, 2Pack Watch Bands(Silicone+Nylon), Answer/Make calls/Quick Text Reply/AI Control, Notifications, IP68 Waterproof/100 Sports Modes/Heart Rate/SpO2/Stress/Sleep Monitor, weather, alarm, timer, stopwatch, calendar, calculator, games, menstrual cycle tracker, sedentary and drink water reminder, music control, remote control to take photos on your phone etc.",FALSE
